Namespace(backbone='resnet50', batch_size=96, config='plabel_Att_knn/plabel_att_knn.yaml',
data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016', device=device(type='cuda'), early_stop=20,
epoch_based_training=False, is_balance=False, lr=0.001, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True,
momentum=0.9, n_epoch=300, n_iter_per_epoch=300, num_workers=3, seed=1, src_domain='Clipart', tgt_domain='Real_World',
transfer_loss='bnm', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
balance para is : False
batch_num is  45
load success
Epoch: [41/300], cls_loss: 0.0000, transfer_loss: -0.8977, total_Loss: -0.8977, test_loss 0.886586, test_acc: 78.7009
Epoch: [42/300], cls_loss: 0.0000, transfer_loss: -0.8992, total_Loss: -0.8992, test_loss 0.892026, test_acc: 78.9534
Epoch: [43/300], cls_loss: 0.0000, transfer_loss: -0.8997, total_Loss: -0.8997, test_loss 0.895287, test_acc: 78.9534
Epoch: [44/300], cls_loss: 0.0000, transfer_loss: -0.9075, total_Loss: -0.9075, test_loss 0.892263, test_acc: 78.8616
Epoch: [45/300], cls_loss: 0.0000, transfer_loss: -0.9087, total_Loss: -0.9087, test_loss 0.902077, test_acc: 78.7698
Epoch: [46/300], cls_loss: 0.0000, transfer_loss: -0.9075, total_Loss: -0.9075, test_loss 0.893985, test_acc: 78.9764
Epoch: [47/300], cls_loss: 0.0000, transfer_loss: -0.9099, total_Loss: -0.9099, test_loss 0.888486, test_acc: 79.0452
Epoch: [48/300], cls_loss: 0.0000, transfer_loss: -0.9038, total_Loss: -0.9038, test_loss 0.898698, test_acc: 79.0223
Epoch: [49/300], cls_loss: 0.0000, transfer_loss: -0.9090, total_Loss: -0.9090, test_loss 0.891111, test_acc: 79.0911
Epoch: [50/300], cls_loss: 0.0000, transfer_loss: -0.9106, total_Loss: -0.9106, test_loss 0.917066, test_acc: 78.9764
Epoch: [51/300], cls_loss: 0.0000, transfer_loss: -0.9094, total_Loss: -0.9094, test_loss 0.897745, test_acc: 79.1600
Epoch: [52/300], cls_loss: 0.0000, transfer_loss: -0.9172, total_Loss: -0.9172, test_loss 0.895198, test_acc: 79.2288
Epoch: [53/300], cls_loss: 0.0000, transfer_loss: -0.9172, total_Loss: -0.9172, test_loss 0.904537, test_acc: 79.1600
Epoch: [54/300], cls_loss: 0.0000, transfer_loss: -0.9214, total_Loss: -0.9214, test_loss 0.903888, test_acc: 78.9993
Epoch: [55/300], cls_loss: 0.0000, transfer_loss: -0.9215, total_Loss: -0.9215, test_loss 0.905429, test_acc: 79.1370
Epoch: [56/300], cls_loss: 0.0000, transfer_loss: -0.9266, total_Loss: -0.9266, test_loss 0.912261, test_acc: 79.3436
Epoch: [57/300], cls_loss: 0.0000, transfer_loss: -0.9214, total_Loss: -0.9214, test_loss 0.913361, test_acc: 79.3206
Epoch: [58/300], cls_loss: 0.0000, transfer_loss: -0.9222, total_Loss: -0.9222, test_loss 0.914403, test_acc: 79.2747
Epoch: [59/300], cls_loss: 0.0000, transfer_loss: -0.9213, total_Loss: -0.9213, test_loss 0.904143, test_acc: 79.2288
Epoch: [60/300], cls_loss: 0.0000, transfer_loss: -0.9188, total_Loss: -0.9188, test_loss 0.915398, test_acc: 79.2288
Transfer result: 79.3436
Epoch: [61/300], cls_loss: 0.0000, transfer_loss: -0.9287, total_Loss: -0.9287, test_loss 0.913074, test_acc: 79.0911
Epoch: [62/300], cls_loss: 0.0000, transfer_loss: -0.9233, total_Loss: -0.9233, test_loss 0.918213, test_acc: 79.3206
Epoch: [63/300], cls_loss: 0.0000, transfer_loss: -0.9235, total_Loss: -0.9235, test_loss 0.910941, test_acc: 79.1829
Epoch: [64/300], cls_loss: 0.0000, transfer_loss: -0.9214, total_Loss: -0.9214, test_loss 0.918771, test_acc: 79.3665
Epoch: [65/300], cls_loss: 0.0000, transfer_loss: -0.9248, total_Loss: -0.9248, test_loss 0.920272, test_acc: 79.3895
Epoch: [66/300], cls_loss: 0.0000, transfer_loss: -0.9314, total_Loss: -0.9314, test_loss 0.916558, test_acc: 79.2977
Epoch: [67/300], cls_loss: 0.0000, transfer_loss: -0.9310, total_Loss: -0.9310, test_loss 0.918389, test_acc: 79.2747
Epoch: [68/300], cls_loss: 0.0000, transfer_loss: -0.9347, total_Loss: -0.9347, test_loss 0.911383, test_acc: 79.4813
Epoch: [69/300], cls_loss: 0.0000, transfer_loss: -0.9296, total_Loss: -0.9296, test_loss 0.932647, test_acc: 79.4354
Epoch: [70/300], cls_loss: 0.0000, transfer_loss: -0.9339, total_Loss: -0.9339, test_loss 0.926030, test_acc: 79.3206
Epoch: [71/300], cls_loss: 0.0000, transfer_loss: -0.9309, total_Loss: -0.9309, test_loss 0.928946, test_acc: 79.4354
Epoch: [72/300], cls_loss: 0.0000, transfer_loss: -0.9320, total_Loss: -0.9320, test_loss 0.924933, test_acc: 79.5501
Epoch: [73/300], cls_loss: 0.0000, transfer_loss: -0.9331, total_Loss: -0.9331, test_loss 0.928252, test_acc: 79.2977
Epoch: [74/300], cls_loss: 0.0000, transfer_loss: -0.9285, total_Loss: -0.9285, test_loss 0.926939, test_acc: 79.4354
Epoch: [75/300], cls_loss: 0.0000, transfer_loss: -0.9390, total_Loss: -0.9390, test_loss 0.929779, test_acc: 79.5731
Epoch: [76/300], cls_loss: 0.0000, transfer_loss: -0.9351, total_Loss: -0.9351, test_loss 0.935854, test_acc: 79.3436
Epoch: [77/300], cls_loss: 0.0000, transfer_loss: -0.9357, total_Loss: -0.9357, test_loss 0.927058, test_acc: 79.4813
